# time(s),x(m),y(m),z(m)
0,6771358.863,0.0,0.0
60,6754814.630335925,293983.5522294306,370914.9316131897
120,6705263.017619999,586530.5582911228,740017.3930404623
180,6622946.876179564,876211.5544946744,1105503.8499583898
240,6508269.612045574,1161611.2059551433,1465588.594159567
300,6361793.174216543,1441335.2808314557,1818512.5428515626
360,6184235.253248694,1714017.5169503621,2162551.902180219
420,5976465.705074199,1978326.3459106453,2496026.650937783
480,5739502.219038778,2232971.440580522,2817308.801448706
540,5474505.253115504,2476710.052911644,3124830.395900823
600,5182772.263068444,2708353.1101879138,3417091.197897135
660,4865731.255984283,2926771.039197128,3692666.040731613
720,4524933.702040704,3130899.289347685,3950211.795828229
780,4162046.8416168964,3319743.527439639,4188473.926910846
840,3778845.4278565864,3492384.478626548,4406292.597777011
900,3377202.947551516,3647982.390058452,4602608.304013797
960,2959082.3657100075,3785781.0957628684,4776467.001601243
1020,2526526.4414000018,3905111.6634852085,4927024.708079844
1080,2081647.664399942,4005395.606457763,5053551.554794509
1140,1626617.8638476853,4086147.6453820965,5155435.271649082
1200,1163657.5414429586,4146978.008278439,5232184.088794109
1260,695024.9828311172,4187594.2582622734,5283429.042706978
1320,223005.20157485313,4207802.641738362,5308925.677189429
1380,-250101.2293912631,4207508.951941369,5308555.132884684
1440,-721989.4037270196,4186718.9051864627,5282324.621987554
1500,-1190361.3100567267,4145538.0296095028,5230367.287869492
1560,-1652937.0080792203,4084171.06856221,5152941.452350633
1620,-2107465.698371021,4002920.903171408,5050429.256307875
1680,-2551736.6327080224,3902187.0008620615,4923334.702198122
1740,-2983589.8128465423,3782463.3988714027,4772281.109886285
1800,-3400926.427051506,3644336.2339368416,4598007.999887113
1860,-3801718.9752256214,3488480.8314152416,4401367.42074774
1920,-4184021.035265202,3315658.3690781635,4183319.7398048504
1980,-4545976.625232796,3126712.1327203,3944928.918938272
2040,-4885829.118079848,2922563.3825109117,3687357.2992044627
2100,-5201929.667961331,2704206.850705481,3411859.92036234
2160,-5492745.109644427,2472705.892913213,3119778.4032953754
2220,-5756865.295111915,2229187.3165815054,2812534.4251828673
2280,-5993009.834184662,1974835.9117086227,2491622.8189766905
2340,-6200034.208823883,1710888.710027737,2158604.330294188
2400,-6376935.233709891,1438629.0000179545,1815098.0662413798
2460,-6522855.83871847,1159380.1260888043,1462773.6719308537
2520,-6637089.152016387,874499.1011536351,1103343.2715550554
2580,-6719081.865663663,585370.0625527862,738553.2118161788
2640,-6768436.868830343,293397.6019095891,370175.64629887685
2700,-6784915.136999999,5.161194304460011e-10,6.511806589054213e-10
2760,-6768436.868830343,-293397.60190958617,-370175.64629887324
2820,-6719081.865663663,-585370.0625527871,-738553.2118161799
2880,-6637089.152016387,-874499.101153634,-1103343.271555054
2940,-6522855.838718471,-1159380.1260888018,-1462773.6719308505
3000,-6376935.233709892,-1438629.0000179538,-1815098.0662413787
3060,-6200034.208823884,-1710888.710027736,-2158604.3302941867
3120,-5993009.834184663,-1974835.9117086215,-2491622.818976689
3180,-5756865.295111916,-2229187.3165815044,-2812534.4251828664
3240,-5492745.109644428,-2472705.8929132116,-3119778.403295374
3300,-5201929.66796133,-2704206.850705482,-3411859.9203623403
3360,-4885829.118079849,-2922563.3825109107,-3687357.2992044613
3420,-4545976.625232799,-3126712.132720298,-3944928.91893827
3480,-4184021.035265198,-3315658.369078165,-4183319.7398048523
3540,-3801718.9752256176,-3488480.8314152425,-4401367.420747742
3600,-3400926.427051515,-3644336.2339368383,-4598007.99988711
3660,-2983589.8128465437,-3782463.3988714027,-4772281.109886285
3720,-2551736.632708024,-3902187.000862061,-4923334.702198121
3780,-2107465.69837102,-4002920.9031714085,-5050429.256307876
3840,-1652937.0080792205,-4084171.0685622096,-5152941.452350632
3900,-1190361.310056731,-4145538.0296095023,-5230367.287869492
3960,-721989.4037270257,-4186718.905186462,-5282324.621987554
4020,-250101.2293912588,-4207508.951941369,-5308555.132884684
4080,223005.20157484544,-4207802.641738363,-5308925.677189429
4140,695024.9828311126,-4187594.258262274,-5283429.0427069785
4200,1163657.5414429554,-4146978.008278439,-5232184.088794109
4260,1626617.8638476883,-4086147.645382096,-5155435.271649081
4320,2081647.6643999359,-4005395.606457764,-5053551.554794511
4380,2526526.4414000004,-3905111.663485209,-4927024.708079844
4440,2959082.3657100075,-3785781.095762869,-4776467.001601244
4500,3377202.947551514,-3647982.3900584523,-4602608.304013798
4560,3778845.427856585,-3492384.478626548,-4406292.597777011
4620,4162046.8416168946,-3319743.5274396404,-4188473.9269108474
4680,4524933.702040708,-3130899.2893476826,-3950211.795828226
4740,4865731.255984279,-2926771.03919713,-3692666.0407316163
4800,5182772.263068442,-2708353.110187915,-3417091.197897136
4860,5474505.253115503,-2476710.0529116443,-3124830.3959008236
4920,5739502.219038777,-2232971.440580524,-2817308.801448708
4980,5976465.705074201,-1978326.3459106428,-2496026.65093778
5040,6184235.253248694,-1714017.516950363,-2162551.90218022
5100,6361793.174216541,-1441335.2808314594,-1818512.5428515675
5160,6508269.612045573,-1161611.2059551445,-1465588.5941595684
5220,6622946.876179564,-876211.5544946732,-1105503.8499583881
5280,6705263.017619998,-586530.5582911249,-740017.393040465
5340,6754814.630335925,-293983.5522294323,-370914.9316131919
5400,6771358.863,-1.030176445585525e-09,-1.2997591972957363e-09
5460,6754814.630335925,293983.5522294323,370914.9316131919
5520,6705263.01762,586530.5582911174,740017.3930404555
5580,6622946.876179564,876211.5544946732,1105503.8499583881
5640,6508269.612045571,1161611.2059551477,1465588.5941595729
5700,6361793.174216541,1441335.2808314594,1818512.5428515675
5760,6184235.253248697,1714017.5169503596,2162551.902180216
5820,5976465.705074201,1978326.3459106428,2496026.65093778
5880,5739502.219038783,2232971.440580517,2817308.8014486996
5940,5474505.253115503,2476710.0529116443,3124830.3959008236
